Work Item Type,Title,Description,Acceptance Criteria,Priority,Story Points,Iteration Path,Area Path,Tags,State,Parent
Feature,"RF-204 · Cuestionario de estilo (estilos preferidos, ocasiones, siluetas)","<p>Cuestionario de estilo (estilos preferidos, ocasiones, siluetas)</p><p>Historias: US-0204</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-02,New,
Feature,"RF-205 · Preferencias y restricciones de color, material y prendas excluidas","<p>Preferencias y restricciones de color, material y prendas excluidas</p><p>Historias: US-0205</p>",,2,,Outfit,Outfit,RF; Fase 1; EP-02,New,
Feature,"RF-206 · Preferencia de ajuste (ceñido/regular/holgado) que modula la explicación, no la medida","<p>Preferencia de ajuste (ceñido/regular/holgado) que modula la explicación, no la medida</p><p>Historias: US-0202, RN-002</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-02,New,
Feature,RF-207 · Persistencia local cifrada del perfil y sincronización cifrada E2E opcional,"<p>Persistencia local cifrada del perfil y sincronización cifrada E2E opcional</p><p>Historias: EN-0206, EN-0207</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-02,New,
Feature,RF-208 · Recuperación del perfil en un dispositivo nuevo mediante frase de recuperación,<p>Recuperación del perfil en un dispositivo nuevo mediante frase de recuperación</p><p>Historias: US-0208</p>,,2,,Outfit,Outfit,RF; Fase 2; EP-02,New,
Feature,"RF-209 · Estimación automática de medidas desde foto/cámara, marcada como beta y siempre corregible","<p>Estimación automática de medidas desde foto/cámara, marcada como beta y siempre corregible</p><p>Historias: SP-0304, US-0305</p>",,1,,Outfit,Outfit,RF; Fase 2; EP-02,New,
Feature,RF-210 · La medida corregida por el usuario prevalece sobre la estimada (RN-005),<p>La medida corregida por el usuario prevalece sobre la estimada (RN-005)</p><p>Historias: US-0305</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-02,New,
Feature,RF-301 · Generación de avatar 3D paramétrico a partir del perfil corporal,<p>Generación de avatar 3D paramétrico a partir del perfil corporal</p><p>Historias: US-0301</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-03,New,
Feature,"RF-302 · Vista 360°, edición y regeneración del avatar","<p>Vista 360°, edición y regeneración del avatar</p><p>Historias: US-0302</p>",,2,,Outfit,Outfit,RF; Fase 2; EP-03,New,
Feature,"RF-303 · Calibración del avatar con referencia física conocida (altura, objeto patrón)","<p>Calibración del avatar con referencia física conocida (altura, objeto patrón)</p><p>Historias: US-0303</p>",,1,,Outfit,Outfit,RF; Fase 2; EP-03,New,
Feature,"RF-304 · Personalización de rostro del avatar (aproximación, no reconstrucción biométrica) con consentimiento adicional y control de visibilidad","<p>Personalización de rostro del avatar (aproximación, no reconstrucción biométrica) con consentimiento adicional y control de visibilidad</p><p>Historias: US-0307</p>",,2,,Outfit,Outfit,RF; Fase 2; EP-03,New,
Feature,RF-305 · Silueta 2D como paso previo y fallback permanente del avatar 3D,<p>Silueta 2D como paso previo y fallback permanente del avatar 3D</p><p>Historias: EN-0602</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-03,New,
Feature,RF-306 · I+D de body scan avanzado con gate go/no-go basado en benchmark de precisión,"<p>I+D de body scan avanzado con gate go/no-go basado en benchmark de precisión</p><p>Historias: SP-0306, EN-0616</p>",,3,,Outfit,Outfit,RF; Fase 3; EP-03,New,
Feature,"RF-401 · Navegación de catálogo por categoría, marca, género y colección","<p>Navegación de catálogo por categoría, marca, género y colección</p><p>Historias: US-0401</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-04,New,
Feature,"RF-402 · Búsqueda con filtros (talla, color, precio, material, disponibilidad) y ordenamiento","<p>Búsqueda con filtros (talla, color, precio, material, disponibilidad) y ordenamiento</p><p>Historias: US-0402</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-04,New,
Feature,"RF-403 · Detalle de producto con variantes (color/talla), material, precio y activos","<p>Detalle de producto con variantes (color/talla), material, precio y activos</p><p>Historias: US-0403</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-04,New,
Feature,RF-404 · Consulta de stock por tienda en tiempo casi real,<p>Consulta de stock por tienda en tiempo casi real</p><p>Historias: US-0404</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-04,New,
Feature,RF-405 · Caché y paginación del catálogo con disponibilidad offline del recorrido reciente,<p>Caché y paginación del catálogo con disponibilidad offline del recorrido reciente</p><p>Historias: EN-0405</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-04,New,
Feature,RF-406 · Jerarquía organizacional: empresa → marca → tienda → sección → piso/percha,<p>Jerarquía organizacional: empresa → marca → tienda → sección → piso/percha</p><p>Historias: US-0410</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-04,New,
Feature,"RF-407 · Localizador en tienda: indicar piso, sección y percha donde está el SKU","<p>Localizador en tienda: indicar piso, sección y percha donde está el SKU</p><p>Historias: US-0411</p>",,2,,Outfit,Outfit,RF; Fase 2; EP-04,New,
Feature,RF-408 · Importación masiva de catálogo (CSV/Excel) con validación previa y ejecución en seco,<p>Importación masiva de catálogo (CSV/Excel) con validación previa y ejecución en seco</p><p>Historias: US-0412</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-04,New,
Feature,"RF-409 · Taxonomía configurable por tenant: categorías, colores, materiales, atributos propios","<p>Taxonomía configurable por tenant: categorías, colores, materiales, atributos propios</p><p>Historias: US-0413</p>",,1,,Outfit,Outfit,RF; Fase 2; EP-04,New,
Feature,RF-410 · Adaptadores de integración ERP/POS con contrato estable,<p>Adaptadores de integración ERP/POS con contrato estable</p><p>Historias: EN-0406</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-04,New,
Feature,RF-411 · Webhooks de inventario y precio con procesamiento idempotente y cola de fallos,"<p>Webhooks de inventario y precio con procesamiento idempotente y cola de fallos</p><p>Historias: EN-0407, EN-0408</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-04,New,
Feature,RF-412 · Reconciliación programada de inventario con reporte de desvíos,<p>Reconciliación programada de inventario con reporte de desvíos</p><p>Historias: EN-0409</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-04,New,
Feature,"RF-413 · Gestión de referencias, modelos y códigos internos del comercio","<p>Gestión de referencias, modelos y códigos internos del comercio</p><p>Historias: US-0413</p>",,1,,Outfit,Outfit,RF; Fase 2; EP-04,New,
Feature,"RF-501 · Modelo de tablas de talla versionadas por marca, categoría y país","<p>Modelo de tablas de talla versionadas por marca, categoría y país</p><p>Historias: EN-0501</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-05,New,
Feature,RF-502 · Cálculo de talla recomendada a partir de medidas manuales,<p>Cálculo de talla recomendada a partir de medidas manuales</p><p>Historias: US-0502</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-05,New,
Feature,RF-503 · Nivel de confianza y explicación legible de la recomendación,<p>Nivel de confianza y explicación legible de la recomendación</p><p>Historias: US-0503</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-05,New,
Feature,"RF-504 · Manejo explícito de ""entre dos tallas"" con alternativa segura","<p>Manejo explícito de ""entre dos tallas"" con alternativa segura</p><p>Historias: US-0503, RN-002</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-05,New,
Feature,"RF-505 · Si no existe tabla válida, informar la ausencia sin inventar recomendación","<p>Si no existe tabla válida, informar la ausencia sin inventar recomendación</p><p>Historias: RN-001</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-05,New,
Feature,RF-506 · Trazabilidad: toda recomendación guarda la versión de tabla y algoritmo usados,<p>Trazabilidad: toda recomendación guarda la versión de tabla y algoritmo usados</p><p>Historias: RN-015</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-05,New,
Feature,"RF-601 · Captura fotográfica guiada (encuadre, distancia, iluminación, pose)","<p>Captura fotográfica guiada (encuadre, distancia, iluminación, pose)</p><p>Historias: US-0601</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-06,New,
Feature,RF-602 · Detección de pose y silueta on-device (33 landmarks),<p>Detección de pose y silueta on-device (33 landmarks)</p><p>Historias: EN-0602</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-06,New,
Feature,RF-603 · Overlay 2D de prenda sobre la foto de cuerpo completo,<p>Overlay 2D de prenda sobre la foto de cuerpo completo</p><p>Historias: US-0603</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-06,New,
Feature,"RF-604 · Ajuste manual del overlay (escala, posición, rotación)","<p>Ajuste manual del overlay (escala, posición, rotación)</p><p>Historias: US-0604</p>",,2,,Outfit,Outfit,RF; Fase 1; EP-06,New,
Feature,"RF-605 · Guardar y compartir una prueba, sin metadatos sensibles (RN-008)","<p>Guardar y compartir una prueba, sin metadatos sensibles (RN-008)</p><p>Historias: US-0605</p>",,2,,Outfit,Outfit,RF; Fase 1; EP-06,New,
Feature,RF-606 · Pipeline de activos 3D glTF/GLB con perfil de activo validado,<p>Pipeline de activos 3D glTF/GLB con perfil de activo validado</p><p>Historias: SP-0606</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-06,New,
Feature,RF-607 · Matriz de compatibilidad ARCore y fallback 2D garantizado,<p>Matriz de compatibilidad ARCore y fallback 2D garantizado</p><p>Historias: EN-0607</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-06,New,
Feature,RF-608 · Pose en tiempo real para AR,<p>Pose en tiempo real para AR</p><p>Historias: EN-0608</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-06,New,
Feature,"RF-609 · Anclaje de prenda 3D al cuerpo con escala, orientación y suavizado","<p>Anclaje de prenda 3D al cuerpo con escala, orientación y suavizado</p><p>Historias: US-0609, EN-0612</p>",,1,,Outfit,Outfit,RF; Fase 2; EP-06,New,
Feature,"RF-610 · Controles de sesión AR (pausar, capturar, cambiar prenda, salir)","<p>Controles de sesión AR (pausar, capturar, cambiar prenda, salir)</p><p>Historias: US-0610</p>",,2,,Outfit,Outfit,RF; Fase 2; EP-06,New,
Feature,RF-611 · Oclusión con Depth API y degradación controlada,<p>Oclusión con Depth API y degradación controlada</p><p>Historias: EN-0613</p>,,2,,Outfit,Outfit,RF; Fase 2; EP-06,New,
Feature,"RF-612 · Comparación lado a lado: 2D, AR y foto de producto","<p>Comparación lado a lado: 2D, AR y foto de producto</p><p>Historias: US-0614</p>",,2,,Outfit,Outfit,RF; Fase 2; EP-06,New,
Feature,RF-614 · I+D de física de tela con gate go/no-go,<p>I+D de física de tela con gate go/no-go</p><p>Historias: SP-0615</p>,,3,,Outfit,Outfit,RF; Fase 3; EP-06,New,
Feature,RF-615 · Toda visualización lleva etiqueta de confianza y aviso de no-garantía (RN-004),<p>Toda visualización lleva etiqueta de confianza y aviso de no-garantía (RN-004)</p><p>Historias: US-0603</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-06,New,
Feature,RF-701 · Asistente conversacional que recibe solicitudes en lenguaje natural,<p>Asistente conversacional que recibe solicitudes en lenguaje natural</p><p>Historias: US-0701</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,"RF-702 · Contexto de ocasión, clima, presupuesto y restricciones del usuario","<p>Contexto de ocasión, clima, presupuesto y restricciones del usuario</p><p>Historias: US-0702</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,RF-703 · Generación de ≥2 outfits combinados solo con SKU disponibles (RN-011),<p>Generación de ≥2 outfits combinados solo con SKU disponibles (RN-011)</p><p>Historias: US-0703</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,RF-704 · Probar un look completo en el avatar/foto en una sola acción,<p>Probar un look completo en el avatar/foto en una sola acción</p><p>Historias: US-0703</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,RF-705 · Feedback explícito (me gusta / no es para mí / no es mi talla) que alimenta el ranking,<p>Feedback explícito (me gusta / no es para mí / no es mi talla) que alimenta el ranking</p><p>Historias: US-0706</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,RF-706 · Motor de recomendación desacoplado detrás de un gateway proveedor-agnóstico,<p>Motor de recomendación desacoplado detrás de un gateway proveedor-agnóstico</p><p>Historias: EN-0705</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,"RF-707 · Ranking híbrido: talla + estilo + stock + regla comercial, con explicabilidad","<p>Ranking híbrido: talla + estilo + stock + regla comercial, con explicabilidad</p><p>Historias: EN-0707</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,RF-708 · Identificación visible de recomendación patrocinada (RN-012),<p>Identificación visible de recomendación patrocinada (RN-012)</p><p>Historias: EN-0707</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,"RF-709 · Evaluación automática (relevancia, stock, seguridad, latencia, costo) como gate antes de promover modelo o prompt","<p>Evaluación automática (relevancia, stock, seguridad, latencia, costo) como gate antes de promover modelo o prompt</p><p>Historias: EN-0708</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,RF-710 · Asistente de localización: sugerir tiendas donde está la prenda o una similar,"<p>Asistente de localización: sugerir tiendas donde está la prenda o una similar</p><p>Historias: US-0903, US-0411</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-07,New,
Feature,"RF-801 · Guardar y retirar favoritos (prendas, looks, marcas, tiendas)","<p>Guardar y retirar favoritos (prendas, looks, marcas, tiendas)</p><p>Historias: US-0801</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-08,New,
Feature,RF-802 · Mi Closet: registro de prendas propias del usuario,<p>Mi Closet: registro de prendas propias del usuario</p><p>Historias: US-0802</p>,,2,,Outfit,Outfit,RF; Fase 1; EP-08,New,
Feature,"RF-803 · Historial de prendas probadas con fecha, talla y resultado","<p>Historial de prendas probadas con fecha, talla y resultado</p><p>Historias: US-0802</p>",,1,,Outfit,Outfit,RF; Fase 1; EP-08,New,
Feature,"RF-804 · Guardar, nombrar y reutilizar outfits","<p>Guardar, nombrar y reutilizar outfits</p><p>Historias: US-0704</p>",,2,,Outfit,Outfit,RF; Fase 3; EP-08,New,
Feature,RF-901 · Carrito armado desde un look o desde el probador,<p>Carrito armado desde un look o desde el probador</p><p>Historias: US-0901</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-09,New,
Feature,RF-902 · Reserva de prenda en tienda física con vigencia y confirmación,<p>Reserva de prenda en tienda física con vigencia y confirmación</p><p>Historias: US-0902</p>,,2,,Outfit,Outfit,RF; Fase 2; EP-09,New,
Feature,"RF-903 · Ficha de tienda con ruta, horario y disponibilidad","<p>Ficha de tienda con ruta, horario y disponibilidad</p><p>Historias: US-0903</p>",,2,,Outfit,Outfit,RF; Fase 2; EP-09,New,
Feature,RF-904 · Deep link y handoff al checkout del retailer,<p>Deep link y handoff al checkout del retailer</p><p>Historias: US-0904</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-09,New,
Feature,RF-905 · Pago integrado con pasarela,<p>Pago integrado con pasarela</p><p>Historias: US-0905</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-09,New,
Feature,RF-906 · Historial y estado de órdenes,<p>Historial y estado de órdenes</p><p>Historias: US-0906</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-09,New,
Feature,RF-907 · Cancelación y solicitud de devolución,<p>Cancelación y solicitud de devolución</p><p>Historias: US-0907</p>,,3,,Outfit,Outfit,RF; Fase 3; EP-09,New,
Feature,RF-908 · Conciliación idempotente de pagos y webhooks,<p>Conciliación idempotente de pagos y webhooks</p><p>Historias: EN-0908</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-09,New,
Feature,"RF-909 · Revalidación de stock y precio antes de reservar, pagar o salir a canal externo (RN-003)","<p>Revalidación de stock y precio antes de reservar, pagar o salir a canal externo (RN-003)</p><p>Historias: US-0901</p>",,1,,Outfit,Outfit,RF; Fase 2; EP-09,New,
Feature,RF-1001 · Preferencias granulares de notificación con opt-in explícito,<p>Preferencias granulares de notificación con opt-in explícito</p><p>Historias: US-1002</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-10,New,
Feature,"RF-1002 · Alertas de stock, reposición de talla o cambio de precio","<p>Alertas de stock, reposición de talla o cambio de precio</p><p>Historias: US-1003</p>",,2,,Outfit,Outfit,RF; Fase 3; EP-10,New,
Feature,RF-1003 · Resumen de estilo periódico con control de frecuencia,<p>Resumen de estilo periódico con control de frecuencia</p><p>Historias: US-1004</p>,,3,,Outfit,Outfit,RF; Fase 3; EP-10,New,
Feature,RF-1004 · Feedback contextual durante el piloto,<p>Feedback contextual durante el piloto</p><p>Historias: US-1001</p>,,2,,Outfit,Outfit,RF; Fase 2; EP-10,New,
Feature,RF-1005 · Cupones y suscripción premium del consumidor,"<p>Cupones y suscripción premium del consumidor</p><p>Historias: US-1006, US-1007</p>",,3,,Outfit,Outfit,RF; Fase 3; EP-10,New,
Feature,RF-1101 · Acceso administrativo con roles por ámbito,<p>Acceso administrativo con roles por ámbito</p><p>Historias: US-1101</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-11,New,
Feature,RF-1102 · CRUD de productos y variantes,<p>CRUD de productos y variantes</p><p>Historias: US-1102</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-11,New,
Feature,RF-1103 · Carga y validación de activos 2D/3D con perfil de activo,<p>Carga y validación de activos 2D/3D con perfil de activo</p><p>Historias: US-1103</p>,,1,,Outfit,Outfit,RF; Fase 2; EP-11,New,
Feature,"RF-1104 · Gestión de tallas, inventario, precios y publicación","<p>Gestión de tallas, inventario, precios y publicación</p><p>Historias: US-1104</p>",,1,,Outfit,Outfit,RF; Fase 2; EP-11,New,
Feature,RF-1105 · App móvil de administración con paridad funcional del núcleo operativo,<p>App móvil de administración con paridad funcional del núcleo operativo</p><p>Historias: US-1904</p>,,2,,Outfit,Outfit,RF; Fase 2; EP-11,New,
Feature,"RF-1106 · Web administrativa responsiva (escritorio, tableta, móvil)","<p>Web administrativa responsiva (escritorio, tableta, móvil)</p><p>Historias: EN-1901</p>",,1,,Outfit,Outfit,RF; Fase 2; EP-11,New,
Feature,RF-1201 · Creación y configuración de tenant,"<p>Creación y configuración de tenant</p><p>Historias: US-1204, US-1701</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-12,New,
Feature,RF-1202 · Roles por tenant y delegación de administración,<p>Roles por tenant y delegación de administración</p><p>Historias: US-1205</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-12,New,
Feature,RF-1203 · Aislamiento verificado de datos entre tenants con prueba negativa automatizada,<p>Aislamiento verificado de datos entre tenants con prueba negativa automatizada</p><p>Historias: EN-1206</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-12,New,
Feature,RF-1204 · Marca y configuración visual por tienda,"<p>Marca y configuración visual por tienda</p><p>Historias: US-1207, US-1703</p>",,2,,Outfit,Outfit,RF; Fase 3; EP-12,New,
Feature,"RF-1205 · Límites y cuotas por tenant (SKU, pruebas/mes, almacenamiento, llamadas IA)","<p>Límites y cuotas por tenant (SKU, pruebas/mes, almacenamiento, llamadas IA)</p><p>Historias: US-1603</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-12,New,
Feature,RF-1301 · Taxonomía de eventos versionada con validación de esquema y cuarentena,<p>Taxonomía de eventos versionada con validación de esquema y cuarentena</p><p>Historias: EN-1302</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,RF-1302 · Dashboard de embudo: impresión → vista → prueba → favorito → acción comercial,<p>Dashboard de embudo: impresión → vista → prueba → favorito → acción comercial</p><p>Historias: US-1303</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,"RF-1303 · Embudo prueba → compra por prenda, talla, color, tienda y segmento","<p>Embudo prueba → compra por prenda, talla, color, tienda y segmento</p><p>Historias: US-1306</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,"RF-1304 · Ranking de prendas más vistas, más probadas y peor convertidas","<p>Ranking de prendas más vistas, más probadas y peor convertidas</p><p>Historias: US-1307</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,RF-1305 · Modelo predictivo de conversión y demanda por SKU/talla,<p>Modelo predictivo de conversión y demanda por SKU/talla</p><p>Historias: EN-1308</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,"RF-1306 · Alertas de anomalía: alta prueba con baja compra ⇒ señal de tallaje, precio o activo","<p>Alertas de anomalía: alta prueba con baja compra ⇒ señal de tallaje, precio o activo</p><p>Historias: US-1309</p>",,2,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,RF-1307 · Predicción de curva de tallas faltante en inventario,<p>Predicción de curva de tallas faltante en inventario</p><p>Historias: US-1310</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,RF-1308 · Mapa de tallas y demanda por región,<p>Mapa de tallas y demanda por región</p><p>Historias: US-1304</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,RF-1309 · Devoluciones y exportación de datos anonimizados,<p>Devoluciones y exportación de datos anonimizados</p><p>Historias: US-1305</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,RF-1310 · Experimentos A/B con guardrails y criterio de parada,<p>Experimentos A/B con guardrails y criterio de parada</p><p>Historias: EN-1301</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-13,New,
Feature,"RF-1401 · Sesión invitada efímera en kiosco, sin persistencia entre usuarios (RN-013)","<p>Sesión invitada efímera en kiosco, sin persistencia entre usuarios (RN-013)</p><p>Historias: US-1401</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,"RF-1407 · Medición automática anónima en el espejo, sin registro ni perfil","<p>Medición automática anónima en el espejo, sin registro ni perfil</p><p>Historias: US-1406</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1408 · Probador en tiempo real con selección táctil sobre pantalla en tienda,<p>Probador en tiempo real con selección táctil sobre pantalla en tienda</p><p>Historias: US-1407</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1409 · Agregación en el borde: ninguna medida individual sale del espejo ni se persiste,<p>Agregación en el borde: ninguna medida individual sale del espejo ni se persiste</p><p>Historias: EN-1408</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1410 · Contraste de lo probado frente a lo comprado en tienda física,<p>Contraste de lo probado frente a lo comprado en tienda física</p><p>Historias: US-1409</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,"RF-1411 · Consentimiento y señalización en espacio físico, con alternativa sin cámara","<p>Consentimiento y señalización en espacio físico, con alternativa sin cámara</p><p>Historias: EN-1410</p>",,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1412 · Calibración de la instalación y detección de descalibración,<p>Calibración de la instalación y detección de descalibración</p><p>Historias: EN-1411</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1402 · Emparejamiento seguro por QR con el móvil del usuario,<p>Emparejamiento seguro por QR con el móvil del usuario</p><p>Historias: US-1402</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1403 · Continuidad: seguir en el móvil el look armado en el espejo,<p>Continuidad: seguir en el móvil el look armado en el espejo</p><p>Historias: US-1403</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1404 · Borrado verificable de la sesión física con evidencia auditable,<p>Borrado verificable de la sesión física con evidencia auditable</p><p>Historias: EN-1404</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1405 · Catálogo del kiosco restringido al inventario de esa tienda en tiempo real,<p>Catálogo del kiosco restringido al inventario de esa tienda en tiempo real</p><p>Historias: US-1401</p>,,1,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1406 · Guía al usuario hacia la ubicación física de la prenda dentro de la tienda,<p>Guía al usuario hacia la ubicación física de la prenda dentro de la tienda</p><p>Historias: US-0411</p>,,2,,Outfit,Outfit,RF; Fase 3; EP-14,New,
Feature,RF-1501 · Mapa de datos y modelo de amenazas mantenido y revisado por fase,<p>Mapa de datos y modelo de amenazas mantenido y revisado por fase</p><p>Historias: EN-1501</p>,,1,,Outfit,Outfit,RF; Fase 1; EP-15,New,
